Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 1, Card: 1
Checked Position - Row: 0, Col: 2, Card: 1
Checked Position - Row: 0, Col: 3, Card: 1
Checked Position - Row: 0, Col: 4, Card: 1
Checked Position - Row: 0, Col: 5, Card: 1
Checked Position - Row: 0, Col: 6, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 1, Card: 1
Checked Position - Row: 0, Col: 2, Card: 1
Checked Position - Row: 0, Col: 3, Card: 1
Checked Position - Row: 0, Col: 4, Card: 1
Checked Position - Row: 0, Col: 5, Card: 1
Checked Position - Row: 0, Col: 6, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 1, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 1, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 1, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 1, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 1, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 1, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 1, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 1, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 1, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 1, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 1, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 1, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 1, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 1, Card: 1
Checked Position - Row: 0, Col: 0, Card: 1
Checked Position - Row: 0, Col: 1, Card: 1
